Abbreviation	Class	SubClass
[glycan]-Cer	Sphingolipids	Glycosphingolipids
[glycan]-GP	Glycerophospholipids	Glycosylglycerophospholipids
[glycan]-PI	Glycerophospholipids	Glycerophosphoinositolglycans
AcCa	Fatty Esters	Acyl Carnitines
CDP-DG	Glycerophospholipids	CDP-glycerols
Cer	Sphingolipids	Ceramides
ChE	Steroids	Cholesterol Esters
CL	Glycerophospholipids	Glycerophosphoglycerophosphoglycerols (Cardiolipins)
Co	Coenzymes	Coenzymes
D7ChE	Steroids	Deuterated Cholesterol Esters
DG	Glycerolipids	Diradylglycerolipids
DLCL	Glycerophospholipids	Dilysocardiolipin
FA	Fatty Acyls	Fatty Acyls
Hex1Cer	Sphingolipids	Ceramides, 1 sugar moiety
Hex2Cer	Sphingolipids	Ceramides, 2 sugar moieties
Hex3Cer	Sphingolipids	Ceramides, 3 sugar moieties
LPA	Glycerophospholipids (lyso)	Glycerophosphates
LPC	Glycerophospholipids (lyso)	Glycerophosphocholines
LPE	Glycerophospholipids (lyso)	Glycerophosphoethanolamines
LPG	Glycerophospholipids (lyso)	Glycerophosphoglycerols
LPI	Glycerophospholipids (lyso)	Glycerophosphoinositols
LPS	Glycerophospholipids (lyso)	Glycerophosphoserines
LSM	Glycerophospholipids (lyso)	Sphingomyelins
MG	Glycerolipids	Monoradylglycerolipids
MLCL	Glycerophospholipids	Monolysocardiolipin
PA	Glycerophospholipids	Glycerophosphates
PC	Glycerophospholipids	Glycerophosphocholines
PE	Glycerophospholipids	Glycerophosphoethanolamines
PG	Glycerophospholipids	Glycerophosphoglycerols
PGP	Glycerophospholipids	Glycerophosphoglycerophosphates
PI	Glycerophospholipids	Glycerophosphoinositols
PIP	Glycerophospholipids	Glycerophosphoinositol monophosphates
PIP2	Glycerophospholipids	Glycerophosphoinositol bis-phosphates
PIP3	Glycerophospholipids	Glycerophosphoinositol tris-phosphates
PnC	Glycerophospholipids	Glycerophosphonocholines
PnE	Glycerophospholipids	Glycerophosphonoethanolamines
PPA	Glycerophospholipids	Glyceropyrophosphates
PS	Glycerophospholipids	Glycerophosphoserines
SM	Sphingolipids	Sphingomyelins
SPH	Sphingolipids	Sphingoid bases
TG	Glycerolipids	Triradylglycerolipids
